estacion_id,fecha_utc,nivel_m,precip_mm_1h,precip_mm_24h,caudal_estimado,rssi,bateria_pct,fuente_comunicacion,target_riesgo
RIMAC_001,2026-01-20T00:00:00Z,1.4,0.7,8.8,2.62,-63,56.1,gsm,0
RIMAC_001,2026-01-20T01:00:00Z,1.34,1.9,6.5,3.28,-68,56.0,lorawan,0
RIMAC_001,2026-01-20T02:00:00Z,1.26,2.3,1.2,2.61,-66,55.8,satelital,0
RIMAC_001,2026-01-20T03:00:00Z,1.17,0.9,7.5,2.29,-77,55.7,lorawan,0
RIMAC_001,2026-01-20T04:00:00Z,1.07,1.1,5.4,2.23,-91,55.3,lorawan,0
RIMAC_001,2026-01-20T05:00:00Z,1.1,0.7,5.5,2.59,-92,55.1,lorawan,0
RIMAC_001,2026-01-20T06:00:00Z,0.97,1.2,0.8,2.3,-66,54.9,lorawan,0
RIMAC_001,2026-01-20T07:00:00Z,0.94,1.7,3.2,1.99,-63,54.7,lorawan,0
RIMAC_001,2026-01-20T08:00:00Z,0.83,0.5,1.9,1.75,-79,54.4,lorawan,0
RIMAC_001,2026-01-20T09:00:00Z,0.77,0.3,10.6,1.6,-95,54.2,gsm,0
RIMAC_001,2026-01-20T10:00:00Z,0.69,1.5,2.1,1.41,-86,53.8,lorawan,0
RIMAC_001,2026-01-20T11:00:00Z,0.61,2.3,6.4,1.11,-76,53.4,lorawan,0
RIMAC_001,2026-01-20T12:00:00Z,0.53,2.8,1.0,1.28,-65,53.0,lorawan,0
RIMAC_001,2026-01-20T13:00:00Z,0.54,2.6,5.1,1.29,-72,52.8,gsm,0
RIMAC_001,2026-01-20T14:00:00Z,0.52,0.7,0.8,1.18,-92,52.7,lorawan,0
RIMAC_001,2026-01-20T15:00:00Z,0.41,0.2,2.9,0.78,-65,52.2,satelital,0
RIMAC_001,2026-01-20T16:00:00Z,0.38,0.6,1.2,0.83,-89,51.8,gsm,0
RIMAC_001,2026-01-20T17:00:00Z,0.34,2.6,3.0,0.73,-91,51.6,gsm,0
RIMAC_001,2026-01-20T18:00:00Z,0.46,11.9,96.9,1.11,-65,51.4,satelital,1
RIMAC_001,2026-01-20T19:00:00Z,0.81,7.5,45.0,1.97,-60,51.2,satelital,0
RIMAC_001,2026-01-20T20:00:00Z,1.1,8.7,85.6,2.64,-63,51.1,gsm,0
RIMAC_001,2026-01-20T21:00:00Z,1.31,14.6,92.6,3.07,-80,50.9,lorawan,1
RIMAC_001,2026-01-20T22:00:00Z,1.65,9.8,81.5,3.24,-70,50.5,gsm,0
RIMAC_001,2026-01-20T23:00:00Z,1.58,0.9,9.0,4.11,-82,50.0,lorawan,0
RIMAC_001,2026-01-21T00:00:00Z,1.5,2.6,10.6,3.7,-104,49.6,gsm,0
RIMAC_001,2026-01-21T01:00:00Z,1.46,2.0,11.3,2.75,-82,49.3,lorawan,0
RIMAC_001,2026-01-21T02:00:00Z,1.5,2.6,6.1,2.76,-106,48.9,lorawan,0
RIMAC_001,2026-01-21T03:00:00Z,1.39,0.8,8.9,2.51,-86,48.8,satelital,0
RIMAC_001,2026-01-21T04:00:00Z,1.39,0.4,1.5,3.39,-82,48.4,gsm,0
RIMAC_001,2026-01-21T05:00:00Z,1.31,2.3,10.6,2.52,-84,47.9,lorawan,0
RIMAC_001,2026-01-21T06:00:00Z,1.26,2.8,9.4,3.01,-89,47.7,lorawan,0
RIMAC_001,2026-01-21T07:00:00Z,1.17,0.7,9.8,2.85,-74,33.6,lorawan,0
RIMAC_001,2026-01-21T08:00:00Z,1.19,0.8,7.7,2.65,-79,33.2,satelital,0
RIMAC_001,2026-01-21T09:00:00Z,1.05,1.8,4.1,2.72,-83,33.0,gsm,0
RIMAC_001,2026-01-21T10:00:00Z,1.02,1.6,9.7,2.44,-74,32.8,gsm,0
RIMAC_001,2026-01-21T11:00:00Z,0.93,2.2,3.6,1.97,-69,32.6,satelital,0
RIMAC_001,2026-01-21T12:00:00Z,0.9,2.7,7.4,1.62,-75,32.4,satelital,0
RIMAC_001,2026-01-21T13:00:00Z,0.82,1.5,9.5,1.91,-74,32.2,lorawan,0
RIMAC_001,2026-01-21T14:00:00Z,0.75,0.7,2.4,1.64,-69,31.7,gsm,0
RIMAC_001,2026-01-21T15:00:00Z,0.75,2.1,5.9,1.35,-89,31.3,lorawan,0
RIMAC_001,2026-01-21T16:00:00Z,0.68,2.9,6.2,1.69,-62,31.1,gsm,0
RIMAC_001,2026-01-21T17:00:00Z,0.66,2.3,5.3,1.41,-85,30.6,satelital,0
RIMAC_001,2026-01-21T18:00:00Z,0.61,2.3,10.1,1.33,-77,30.4,satelital,0
RIMAC_001,2026-01-21T19:00:00Z,0.56,1.6,1.7,1.32,-61,30.3,lorawan,0
RIMAC_001,2026-01-21T20:00:00Z,0.5,1.3,10.9,1.24,-95,29.9,satelital,0
RIMAC_001,2026-01-21T21:00:00Z,0.45,2.6,11.4,1.01,-81,29.5,satelital,0
RIMAC_001,2026-01-21T22:00:00Z,0.34,1.0,8.1,0.74,-94,29.4,gsm,0
RIMAC_001,2026-01-21T23:00:00Z,0.34,0.1,7.7,0.63,-75,29.1,satelital,0
CHILLON_001,2026-01-20T00:00:00Z,1.77,1.4,9.0,3.5,-93,82.5,lorawan,0
